Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,BERT Label,confidence,True Label,predicted_label
pWdKf3MneyI,UgwC5yIi0lsxOs9rvI94AaABAg,2023-05-27T05:10:50Z,2023-05-27T05:10:50Z,0,Now that I rewatch it again it’s kinda goofy it gives me teen beach movie vibes lmao idk😭😭,NON_HATE,0.9516534209,NON_HATE,NON_HATE
pWdKf3MneyI,Ugw2Mj-SYMmcs1yfjdN4AaABAg,2023-05-17T19:11:01Z,2023-05-17T19:11:01Z,0,However antman was bitten by the Chan Chan man😂😂😂,NON_HATE,0.8963207006,NON_HATE,NON_HATE
pWdKf3MneyI,Ugz3hWhiC07YH6p6Pvl4AaABAg,2023-05-05T20:23:31Z,2023-05-05T20:23:31Z,0,"If it weren't for the MCU, Ant-Man would become as lovable of a character as he is now. Me and my parents weren't really sure about seeing this movie when it came out. But over the summer when it came out, we had a trip in Ireland and our driver told us it was really good. We considered seeing it when we came back home in America. However, we were too late because it was gone. We watched in on TV later on and we really wished we saw it on the big screen. At least we've got to see the other films Ant-Man appears in on the big screen.",NON_HATE,0.951300621,NON_HATE,NON_HATE
pWdKf3MneyI,UgzgR9aN7K22dAB5BAl4AaABAg,2023-04-30T13:15:07Z,2023-04-30T13:15:07Z,0,Ah the simpler time where MCU is not forced to make diversity in movie,NON_HATE,0.9582823515,,NON_HATE
pWdKf3MneyI,UgziBXOA44h8sT0uB8x4AaABAg,2023-04-26T16:25:56Z,2023-04-26T16:25:56Z,2,1:42 Modok is that you 🐱,NON_HATE,0.9682469368,NON_HATE,NON_HATE
pWdKf3MneyI,UgxiO7CVEN2jLJFU5pR4AaABAg,2023-04-23T03:17:14Z,2023-04-23T03:17:14Z,0,Marvel fans explain me if ant man reduced himself to smaller than atoms how he breathes oxygen 🤔🤔🤔🤔🤔🤔,NON_HATE,0.9632362723,NON_HATE,HATE
pWdKf3MneyI,Ugx0dpicPlabWEG7Drh4AaABAg,2023-04-13T03:03:06Z,2023-04-13T03:03:06Z,3,"The first film had a sense of believability to it, but the third one lost its immersion for me. The introduction of the quantum universe concept just felt like nonsense, and the poorly executed CGI didn't help either.",NON_HATE,0.9694254398,NON_HATE,NON_HATE
pWdKf3MneyI,UgxeLmltKT7lzSy3_Uh4AaABAg,2023-03-29T19:22:39Z,2023-03-29T19:29:58Z,0,Ant-Man is a  different film. One of the best Marvel movies.,NON_HATE,0.974273622,NON_HATE,NON_HATE
pWdKf3MneyI,UgxPpdM2Ih8zyMa5Owd4AaABAg,2023-03-28T13:49:00Z,2023-03-28T13:49:00Z,1,This movie is better than Thor Love and Thunder,NON_HATE,0.9596700072,NON_HATE,NON_HATE
pWdKf3MneyI,Ugx_3AZ6He3MW9pJygZ4AaABAg,2023-03-28T12:47:15Z,2023-03-28T12:47:15Z,0,man i miss when these movies were independent and gave a darn about the main character,NON_HATE,0.9683822393,NON_HATE,HATE
pWdKf3MneyI,Ugx987xdI3gkGh4Mkn94AaABAg,2023-03-13T08:07:36Z,2023-03-13T08:07:36Z,6,better than quantamania.,NON_HATE,0.9769582152,NON_HATE,NON_HATE
