text,label,confidence
now that i rewatch it again its kinda goofy it gives me teen beach movie vibes lmao idk,NON_HATE,0.9627769589424133
however antman was bitten by the chan chan man,NON_HATE,0.9429050087928772
if it werent for the mcu antman would become as lovable of a character as he is now me and my parents werent really sure about seeing this movie when it came out but over the summer when it came out we had a trip in ireland and our driver told us it was really good we considered seeing it when we came back home in america however we were too late because it was gone we watched in on tv later on and we really wished we saw it on the big screen at least weve got to see the other films antman appears in on the big screen,NON_HATE,0.9563267827033997
ah the simpler time where mcu is not forced to make diversity in movie,NON_HATE,0.9666277170181274
142 modok is that you ,NON_HATE,0.9763737916946411
marvel fans explain me if ant man reduced himself to smaller than atoms how he breathes oxygen ,NON_HATE,0.9665646553039551
the first film had a sense of believability to it but the third one lost its immersion for me the introduction of the quantum universe concept just felt like nonsense and the poorly executed cgi didnt help either,NON_HATE,0.9702603220939636
jaikal mahakal,NON_HATE,0.9689717888832092
antman is a  different film one of the best marvel movies,NON_HATE,0.9696269035339355
this movie is better than thor love and thunder,NON_HATE,0.9712544083595276
man i miss when these movies were independent and gave a darn about the main character,NON_HATE,0.9683822393417358
better than quantamania,NON_HATE,0.9736862778663635
marvel trailers used to look epic af,NON_HATE,0.973037838935852
imagine if edgar wright directed ant man quantumania,NON_HATE,0.9698693156242371
marvel really needs to create movie as they used to be antman quantumania was good but the first one had that charm i just dont know how to pinpoint it exactly but it just works the visuals the cgi the filmography was great heck this trailer alone is epic even if its just about antman versus yellowjacket,NON_HATE,0.9377683401107788
whos here after watching quantumania,NON_HATE,0.84310382604599
its funny how instead of using a steam train for the final battle they used thomas the tank engine,NON_HATE,0.9541876316070557
murdock,NON_HATE,0.9595822095870972
im here after watching this quantumania   this trailer better then that whole movie,NON_HATE,0.9638131856918335
who is here after quantamania,NON_HATE,0.9731928706169128
edgar wright was the only reason this movie wasnt garbage literally every antman movie since is indicative of the absolutely passionless and overproduced corporate shlock,NON_HATE,0.9379740953445435
is it good,NON_HATE,0.9766751527786255
this is one of marvels best trailers rewatching this trailer before seeing quantumania and man that operatic music gives me chills,NON_HATE,0.969997227191925
the real antmanthe best,NON_HATE,0.9617982506752014
whats the name of this music in the trailer playing in the background,NON_HATE,0.9682475328445435
funny story the wiggles hot poppin popcorn was in this movie,NON_HATE,0.8607382774353027
well i feel like weve come far and now quantumaniacant believe how many years have passed feels like you dont get much bigger than quantumania rn to me,NON_HATE,0.9725201725959778
"spiderman has learned over and over again that great power comes great responsibility
hank pyms former lab partner never learned that lesson the former ant man learned that",NON_HATE,0.9737575650215149
antman 2015,NON_HATE,0.976051926612854
marvel mustve known that thomas was a part of our childhoods so they decided to include him in the movie to punch us right in the childhood,NON_HATE,0.961487889289856
"
",NON_HATE,0.9733547568321228
im excited to see kang on february 17,NON_HATE,0.9753711223602295
who is coming before ant man and the wasp,NON_HATE,0.964691698551178
i couldnt care less about superhero movies but when i saw the toy train derailing in the theater i laughed out loud,NON_HATE,0.9613834619522095
all this time and modok was always there ,NON_HATE,0.9754282832145691
the first mcu movie i ever watched,NON_HATE,0.9742377400398254
i love this movie so much im soooooo excited for quantumania,NON_HATE,0.9714951515197754
such a funny movie,NON_HATE,0.9667069315910339
i  a marvel studios movies on disney plus original from vemon 1 and ant man and the wasp 3 with shang chi 1 iron man 2,NON_HATE,0.9719616174697876
man scott and hope came a long way from doing a simple heist to determining the fate of the multiverse,NON_HATE,0.9661285281181335
i wished we saw how the mask on yellowjacket worked,NON_HATE,0.9711554646492004
whos here in 2022,HATE,0.5074566006660461
"great actors rubbish premise
marvel and disney have polluted and destroyed the movie industry insidiously",NON_HATE,0.953685998916626
why doesnt she kick him in the nuts too,NON_HATE,0.9115942716598511
its okay if women are violent to men,NON_HATE,0.8930730223655701
i like it when she hit him in the face,NON_HATE,0.9404149055480957
"so interesting that i got recommended this 6 years later but im honestly really exited to see antman face off against kang in
quantumania",NON_HATE,0.9723214507102966
marvel filmlerinde en sevmediğim karakterlerden  iron man 1 numara,NON_HATE,0.971794605255127
1944,NON_HATE,0.9765971302986145
"after watching antman quantamania i realised that i have never watched any trailers of original antman  antman and the wasp

those days were pretty cool when we used to go to theatre without watching any trailers at all and then the movie exceeds every expectations i wanna feel that feeling back ",NON_HATE,0.9621716737747192
i watched this trailer with antman 3 trailer this is take me into the past,NON_HATE,0.9743645191192627
just came back from quantum realm,NON_HATE,0.9715479016304016
whos here after seeing the new ant man and the wasp quantumania trailer,NON_HATE,0.9471361637115479
who came here after watching new trailer of antman,NON_HATE,0.9712169766426086
one of the most underrated mcu movies,NON_HATE,0.971238374710083
i remember i saw the trailer when i watched jurrasic world,NON_HATE,0.972679078578949
amazing,NON_HATE,0.974765419960022
why so many villians are bald a lot of ppl i know who are bald are kind and peaceful ppl,HATE,0.6384302377700806
so this was his origin still cant remember if i killed him or not,NON_HATE,0.9677078127861023
"yellowjacket  you think you can stop the future youre just a thief

scott  you dont know anything about me",NON_HATE,0.9385170340538025
hi,NON_HATE,0.975435197353363
oh look its crap bag,NON_HATE,0.8484430313110352
modok,NON_HATE,0.9754544496536255
tommy doyle is antman now how time flies,NON_HATE,0.9714646339416504
wow,NON_HATE,0.9734238982200623
